nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
702.8355606104681,0.0,-266.3975149733416,714.5246150917113,0.0,-243.95879965408196,724.3567423547636,0.0,-244.29406551185278,733.7397765298603,0.0,-244.88981880321967,686.9763719772129,0.0,-248.59972196042332,677.4782812491587,0.0,-252.06052552696582,669.8325159029962,0.0,-255.61795622447235,741.5006954454948,0.0,-255.78734328434606,663.1225310811247,0.0,-266.443152879962,722.0147019961183,0.0,-287.256422775235,688.4346640449623,0.0,-293.32721279125974,812.8797993006134,0.0,-396.0752588912245,615.8037492157544,0.0,-373.3079062735895,850.0162373238949,0.0,-544.8197187521664,501.2775995765319,0.0,-375.0253560728062,868.7132543260095,0.0,-734.9675696597611,375.5150295206225,0.0,-357.10096683155217,889.1676844701755,0.0,-778.191782525831,345.2692219413464,0.0,-339.27175622593825,875.0919246264779,0.0,-777.0002441745505,340.7184453571707,0.0,-333.83753677824836,865.1387385638401,0.0,-758.8730899495135,351.9748679029294,0.0,-344.25233324262376,747.3558472658324,0.0,-683.9877980052811,619.0543529883325,0.0,-667.9499342537001,755.8826178650005,0.0,-950.5544351630501,615.7126896405214,0.0,-929.5812994753917,738.3456750820168,0.0,-1199.5508382516202,603.0760544656172,0.0,-1178.633321125183,749.5959573231488,0.0,-1239.3746916411208,605.155003343655,0.0,-1223.116728737109,686.7362115878854,0.0,-1249.664424171411,583.186285603329,0.0,-1220.8860199345213
703.1592938922182,0.0,-266.81479251504874,715.1364786367002,0.0,-244.16450457598535,725.1933742695052,0.0,-244.6014789981974,734.2502351798041,0.0,-245.27358322617667,687.4908881922655,0.0,-248.7454260413102,678.1998578303417,0.0,-252.1725330933645,670.4001064420015,0.0,-255.66177919431885,742.1252334191073,0.0,-256.14901005844285,663.9219176846641,0.0,-266.42575190497877,722.4675953737822,0.0,-288.48586078066694,688.5681170690602,0.0,-293.5315809498969,813.6174497483574,0.0,-397.6099342644668,615.3692531335115,0.0,-373.5120214601624,853.2398804718991,0.0,-547.6150695824418,498.74613924253464,0.0,-375.73224219425106,878.0746113326682,0.0,-735.89143183029,374.3889428540148,0.0,-357.0048073445144,899.570534401804,0.0,-778.8934169385444,343.7601360954418,0.0,-338.54638199555075,885.697416114916,0.0,-777.9055396267164,339.26387620714945,0.0,-333.29838859500427,875.3985422687456,0.0,-759.693598509876,350.51042350322405,0.0,-344.0081006143113,749.8906837119066,0.0,-687.1969726691553,620.4531733626994,0.0,-671.5245678638272,757.1863744071256,0.0,-950.8330167443723,617.6360207764404,0.0,-930.3089952163114,740.0354655491316,0.0,-1200.3413547363912,604.7758119968228,0.0,-1179.04036038111,751.2678192301142,0.0,-1240.9874104777568,606.7297120198797,0.0,-1223.89389803974,688.2666441170916,0.0,-1250.3904483519566,585.0758590410505,0.0,-1221.1257762164582
704.698085538842,0.0,-267.3861973852348,717.1436388981914,0.0,-244.80863148276825,727.4965541980574,0.0,-245.4205782953806,735.8950033882193,0.0,-246.13935632921104,689.0800221868984,0.0,-249.0153424155681,680.2840602720394,0.0,-252.3434074029538,671.9539337961431,0.0,-255.72290829109573,744.20549465188,0.0,-257.01187058584367,665.0162489677881,0.0,-266.3937139844311,723.9466212473067,0.0,-289.9925639573273,689.4080835511967,0.0,-293.8592399418599,815.1738862566175,0.0,-400.18592244203495,615.1310549381814,0.0,-374.13419339513956,856.9956389062397,0.0,-550.4492750922379,494.61585633431156,0.0,-376.7508966604237,883.3257343320497,0.0,-739.2169251667245,372.8992774952722,0.0,-356.8251777887719,904.6430245149553,0.0,-782.6866830481644,341.8851825230198,0.0,-336.67109526116803,890.5978939502044,0.0,-781.3872760094451,337.4367349097082,0.0,-330.573505428262,880.2904085025086,0.0,-763.2216867419062,348.9134289667342,0.0,-341.96863839384844,752.234054612847,0.0,-691.959122785859,621.3645451943642,0.0,-676.5898223531055,762.2373260798494,0.0,-953.0154540947342,620.4260102597807,0.0,-932.9018284820074,744.2296803953245,0.0,-1202.1878591394798,607.9218280991895,0.0,-1181.5876988837583,754.8656972928682,0.0,-1243.4868004563443,609.5697425591827,0.0,-1226.243158071044,695.0435552553221,0.0,-1252.3958683265153,591.041438095215,0.0,-1224.7308657497272
707.3424832357101,0.0,-268.2454729332079,720.655208202207,0.0,-246.0733740714015,730.9625664004932,0.0,-246.82963117890876,738.6690636363398,0.0,-247.57604932934862,691.5902569901082,0.0,-249.57044289270635,683.3560442686214,0.0,-252.74643163710363,674.5657372845667,0.0,-255.99315252674864,747.6788774105094,0.0,-258.46493517582076,666.426556046682,0.0,-266.5738893073241,726.3429519833012,0.0,-291.58836038505376,691.1158275058798,0.0,-294.61308783190304,817.9071932155291,0.0,-403.4004800404236,615.1730988603001,0.0,-375.01957068452225,861.3008550549464,0.0,-551.6591245225587,491.11080927689466,0.0,-377.83327231829514,884.0915130250611,0.0,-743.430040745581,371.42548975884466,0.0,-354.1930545537575,904.1983580777891,0.0,-787.7721496927772,340.4535429620994,0.0,-330.8673299100239,889.7965782351442,0.0,-785.9147892472355,335.99733577912247,0.0,-322.66833979430777,879.8370453473796,0.0,-767.9666450279069,347.56290949627623,0.0,-335.29683615335415,754.7905218234397,0.0,-698.1329942856448,622.1576262118919,0.0,-682.7566187503611,769.8828211568527,0.0,-958.0494284168235,624.2358597845977,0.0,-938.2978077018914,750.985983284651,0.0,-1206.058074934547,612.8990943815713,0.0,-1187.0134650195087,760.3663722293813,0.0,-1247.2448208037379,614.0231649136362,0.0,-1230.7462036775942,705.2592998152752,0.0,-1257.040476016946,600.6003001619688,0.0,-1232.586578010031
710.5722920735421,0.0,-269.4623190807009,724.8832904744455,0.0,-247.8164848359128,734.5736023459234,0.0,-248.5766993539947,741.8930047072774,0.0,-249.37013335462393,694.5164782668294,0.0,-250.51444699140873,686.5532646974565,0.0,-253.5250916726034,677.8636463888498,0.0,-256.6478237062223,751.4654877757179,0.0,-260.2826082436773,668.1026952309911,0.0,-267.19340314447936,729.3218815684111,0.0,-293.1901563991742,693.6714868691492,0.0,-295.85189426231494,821.6898929205594,0.0,-407.0784033438314,615.5563891565578,0.0,-375.93949802373726,865.9159204227715,0.0,-552.5690703798234,489.93731636270127,0.0,-378.80129821379217,883.7841800692413,0.0,-746.9411069035574,370.2278713476564,0.0,-346.3161879650863,902.7754255944802,0.0,-792.073050961612,339.94893941051924,0.0,-319.205114101294,888.1590883612993,0.0,-790.2157604956994,335.45465186432864,0.0,-308.9797606572326,878.5789770253498,0.0,-772.2406599746485,346.7792794063074,0.0,-323.1010367574613,757.0597080730249,0.0,-704.6587974189068,622.5352316882054,0.0,-688.6677588710926,775.027164073815,0.0,-965.5626535388468,626.5401754262174,0.0,-945.2542239770074,756.5035858666394,0.0,-1212.3027461567758,616.5962491223422,0.0,-1194.3094531975519,764.7672694639322,0.0,-1252.905386938168,617.3345684392626,0.0,-1237.302415158337,711.468086134948,0.0,-1263.786003756702,606.8900296423859,0.0,-1242.1502910875195
714.1873789695512,0.0,-270.66614577689074,728.9782081532416,0.0,-249.51804593700882,737.7468580748518,0.0,-250.15412886769676,745.1114177222313,0.0,-251.02756917422838,697.7868919472688,0.0,-251.61034695891087,689.5956987012453,0.0,-254.47505645263328,681.5660942563708,0.0,-257.5238674972006,754.765069545433,0.0,-261.94193256705853,670.0734003911883,0.0,-268.14006164899456,732.8689525660559,0.0,-294.4777326974268,697.2011232671581,0.0,-297.09022643604976,826.1494787803757,0.0,-410.7299820826404,616.3552995496082,0.0,-376.81435811433715,870.6793696737053,0.0,-555.8089101283981,490.44620595399425,0.0,-379.59028255092807,884.808048903321,0.0,-750.1232339081557,369.3057053074719,0.0,-332.8609381746003,903.0924845106405,0.0,-796.1734122206261,340.26520305711495,0.0,-302.84086394092975,888.2838773274501,0.0,-795.4570945353778,335.8010697372184,0.0,-292.2825759838157,878.9974435304578,0.0,-776.6636654921399,346.77000015378565,0.0,-307.56914501686396,759.1971588511102,0.0,-709.9623923524383,622.3999340163214,0.0,-693.2550971902789,776.2461164040952,0.0,-973.1746951842198,626.1470085385506,0.0,-951.6657930358632,758.3557577636574,0.0,-1219.6370324321142,616.4790216397333,0.0,-1201.6575999953695,766.2909828634886,0.0,-1260.2067362360772,616.9891754216924,0.0,-1244.9254728929993,711.1149767043933,0.0,-1270.8087818120036,606.333035120666,0.0,-1250.603373706185
718.4170476783202,0.0,-271.3377766063111,732.8840499458397,0.0,-250.71012895876277,740.9371893206971,0.0,-251.23130049102588,748.7867458375831,0.0,-252.21151622060555,701.7659907160216,0.0,-252.42752856355574,692.8739734351857,0.0,-255.15343923362386,685.6119639683769,0.0,-258.1912099388677,758.0753088017085,0.0,-263.09561976320157,672.5342927080288,0.0,-269.0055651494665,737.1901559739518,0.0,-295.035614816767,701.7731391801345,0.0,-297.8170874682205,830.7773347258002,0.0,-413.39602027624466,617.4565435764166,0.0,-377.6847933352412,876.0767130405027,0.0,-559.853003966115,491.01000883407755,0.0,-380.3141529040483,887.379157337696,0.0,-753.6679532886706,369.28943505389384,0.0,-317.18869083354866,905.1178009834246,0.0,-801.1329052450353,341.955782268895,0.0,-285.36924955648243,889.8539661498901,0.0,-802.3674123079206,337.98952267271716,0.0,-276.27710327295443,880.8040511609998,0.0,-782.1449600679769,348.72665726505255,0.0,-292.08574180361614,762.4894943186476,0.0,-712.8698323348335,622.6601808172248,0.0,-696.4310840622406,777.7406980952295,0.0,-978.0500653455457,625.0702879369658,0.0,-956.2529965236617,758.3543331463763,0.0,-1226.1500717072367,613.8700949887652,0.0,-1207.6774629654508,766.4235235682233,0.0,-1267.6613180565419,613.9748778358377,0.0,-1251.866341894194,709.609545574349,0.0,-1277.686695297876,603.0873354332377,0.0,-1257.7628268252206
723.1235575786147,0.0,-271.6500531164421,736.9106852950265,0.0,-251.55434281430726,744.7889139469781,0.0,-252.1004381291791,753.5315043479355,0.0,-253.20135790330426,706.367182148632,0.0,-252.87339624734335,696.5488774198517,0.0,-255.3830628978354,689.7355439006323,0.0,-258.40510603294734,762.3854595506187,0.0,-264.0943595231613,675.6420010065012,0.0,-269.5136884350345,741.9558473811162,0.0,-295.17038681423736,706.7452408149782,0.0,-298.25902369987836,834.8474166863045,0.0,-414.91105158446334,618.470460110433,0.0,-378.62312746385453,882.9774146313424,0.0,-558.9262708840482,491.006314869629,0.0,-380.9068789088575,892.7291402470711,0.0,-755.9850245716949,371.29685272168814,0.0,-302.80518809935825,910.5599124362803,0.0,-804.7683119686395,346.10456819723555,0.0,-269.6960277649348,894.8261349176213,0.0,-807.7422400090985,343.87207084447215,0.0,-262.14522364309863,885.794228587087,0.0,-786.5938635285082,354.33998511978245,0.0,-277.8521879133268,767.6192429468523,0.0,-713.8163118347509,624.0973324961835,0.0,-698.9963988074651,782.8208495801509,0.0,-980.1621885086644,625.4386532101937,0.0,-959.311299233339,760.2693547727862,0.0,-1231.6170884431458,612.3565147001694,0.0,-1212.3134367677371,768.22305446075,0.0,-1274.5250297858383,611.9307011129705,0.0,-1257.149893968369,712.6377278653083,0.0,-1285.399657266262,602.9617641572489,0.0,-1264.9067162642561
727.4926802123176,0.0,-272.57267808948575,740.7444304171643,0.0,-252.74354133961424,749.0542215491438,0.0,-253.44334739505138,758.8305931855349,0.0,-254.62571112023252,710.7221174612815,0.0,-253.39993815519844,700.149570715862,0.0,-255.50767249456132,693.3322279206777,0.0,-258.37408580372835,767.6403114975583,0.0,-265.6796849314514,679.1817631314965,0.0,-269.7620218790571,746.2666216870332,0.0,-296.05262361621254,710.9649428533841,0.0,-299.2698573502888,838.0046805703955,0.0,-416.5654075544955,619.1104510879716,0.0,-379.76501263844864,891.7103803350205,0.0,-552.5775966064778,490.72172256550965,0.0,-380.75885087888315,902.9382594328606,0.0,-755.6080027371737,375.4347973334276,0.0,-289.6690739383335,922.0591107569027,0.0,-804.7049662462421,352.36739068867666,0.0,-256.1128625295255,906.3147587689327,0.0,-808.4890528374061,353.53115293592043,0.0,-248.1572032132891,896.9657114751926,0.0,-787.7113512321147,363.4051243570705,0.0,-263.31239737713713,773.890681853568,0.0,-715.2814374550295,626.1642501448977,0.0,-702.589088069736,789.5432529987871,0.0,-983.5133892714848,626.6452800806295,0.0,-962.9447505967113,765.9311521158942,0.0,-1238.3334944567002,613.8789944967889,0.0,-1217.2729600264124,773.6124336324962,0.0,-1282.4946404526293,613.3502117175647,0.0,-1262.1956039820893,719.809905178284,0.0,-1294.5882221773154,607.1178008049208,0.0,-1272.8107528527635
731.072234827036,0.0,-274.7625200043804,743.7579423662082,0.0,-254.63955483500888,753.005585156548,0.0,-255.46455811420057,763.4089214277362,0.0,-256.6033788626606,714.1837548157526,0.0,-254.5254935125662,703.3188488805923,0.0,-256.0592622709949,696.0532092131739,0.0,-258.5382288246201,772.8105193729425,0.0,-267.97717769900817,682.6433262965957,0.0,-270.0242126689075,749.8182512228313,0.0,-298.444509772043,714.0969519504565,0.0,-301.3595954791299,840.9879900633796,0.0,-419.57918094053286,619.622230899839,0.0,-381.2041891865862,901.4325994548582,0.0,-550.8957623856663,490.3720329838114,0.0,-379.30996119178707,916.8018318668143,0.0,-754.7341889555452,380.8317168044657,0.0,-276.3171474728482,937.8421545284939,0.0,-803.3848785937989,359.1441344978065,0.0,-243.66078070180816,922.3147630970415,0.0,-807.2038770998784,364.51677511757265,0.0,-233.0276712676797,912.4268178286516,0.0,-787.4634225050273,373.67534092428605,0.0,-247.65112922425732,780.2731958592319,0.0,-719.7159990381705,627.8498265837593,0.0,-708.6780771834608,794.4072531092955,0.0,-991.9806241001767,627.0798291181181,0.0,-969.5308033626457,773.4992465978255,0.0,-1248.325753500596,617.5752764705356,0.0,-1224.8396145364009,781.5116595183314,0.0,-1293.3332118091103,617.6141065085415,0.0,-1269.5909439370685,727.1154733950034,0.0,-1304.9549177651302,613.4125787691106,0.0,-1281.939454874861
