right_hand_wrist_x,right_hand_wrist_y,right_hand_wrist_z,right_hand_thumb_cmc_x,right_hand_thumb_cmc_y,right_hand_thumb_cmc_z,right_hand_thumb_mcp_x,right_hand_thumb_mcp_y,right_hand_thumb_mcp_z,right_hand_thumb_ip_x,right_hand_thumb_ip_y,right_hand_thumb_ip_z,right_hand_thumb_tip_x,right_hand_thumb_tip_y,right_hand_thumb_tip_z,right_hand_index_finger_mcp_x,right_hand_index_finger_mcp_y,right_hand_index_finger_mcp_z,right_hand_index_finger_pip_x,right_hand_index_finger_pip_y,right_hand_index_finger_pip_z,right_hand_index_finger_dip_x,right_hand_index_finger_dip_y,right_hand_index_finger_dip_z,right_hand_index_finger_tip_x,right_hand_index_finger_tip_y,right_hand_index_finger_tip_z,right_hand_middle_finger_mcp_x,right_hand_middle_finger_mcp_y,right_hand_middle_finger_mcp_z,right_hand_middle_finger_pip_x,right_hand_middle_finger_pip_y,right_hand_middle_finger_pip_z,right_hand_middle_finger_dip_x,right_hand_middle_finger_dip_y,right_hand_middle_finger_dip_z,right_hand_middle_finger_tip_x,right_hand_middle_finger_tip_y,right_hand_middle_finger_tip_z,right_hand_ring_finger_mcp_x,right_hand_ring_finger_mcp_y,right_hand_ring_finger_mcp_z,right_hand_ring_finger_pip_x,right_hand_ring_finger_pip_y,right_hand_ring_finger_pip_z,right_hand_ring_finger_dip_x,right_hand_ring_finger_dip_y,right_hand_ring_finger_dip_z,right_hand_ring_finger_tip_x,right_hand_ring_finger_tip_y,right_hand_ring_finger_tip_z,right_hand_pinky_mcp_x,right_hand_pinky_mcp_y,right_hand_pinky_mcp_z,right_hand_pinky_pip_x,right_hand_pinky_pip_y,right_hand_pinky_pip_z,right_hand_pinky_dip_x,right_hand_pinky_dip_y,right_hand_pinky_dip_z,right_hand_pinky_tip_x,right_hand_pinky_tip_y,right_hand_pinky_tip_z
-27.47469804957201,0.0,-27.474692257437876,-21.236222903387187,0.0,-21.236216908991416,-15.866815932813473,0.0,-15.866809978614125,-13.320801207446015,0.0,-13.320795401244531,-12.520735062100975,0.0,-12.520729513024868,-13.180061303577268,0.0,-13.180055951076408,-10.22086403548712,0.0,-10.220858987160437,-9.513342284036138,0.0,-9.513337113381153,-8.590091237240097,0.0,-8.590085926878277,-16.349553118479715,0.0,-16.349547951308107,-13.443661205834669,0.0,-13.443656258217523,-12.514222263339915,0.0,-12.51421708365791,-11.749434513695489,0.0,-11.74942915989107,-19.676959940452072,0.0,-19.67695495801444,-17.480769993180648,0.0,-17.480765138162372,-16.514207518606252,0.0,-16.514202453795907,-15.780336300736993,0.0,-15.780331057024059,-23.23622597442598,0.0,-23.23622115563403,-22.225071230496372,0.0,-22.225066559794435,-21.283131663735368,0.0,-21.283126946473047,-20.320894195643852,0.0,-20.32088942056428
-27.474699020584715,0.0,-27.474691881168205,-21.236223816624488,0.0,-21.236216319589722,-15.866816934871835,0.0,-15.866809258283823,-13.320802344873185,0.0,-13.320794670023245,-12.520736372364002,0.0,-12.520728885776464,-13.180062326927448,0.0,-13.180055460134273,-10.220865219182715,0.0,-10.220858498269054,-9.513343529809228,0.0,-9.513336507013591,-8.590092439244167,0.0,-8.590085264753336,-16.349554189246383,0.0,-16.349547603095683,-13.443662388178257,0.0,-13.443656022400756,-12.514223508810746,0.0,-12.514216738080696,-11.749435742402609,0.0,-11.749428761892963,-19.676961058820385,0.0,-19.67695473069707,-17.480771204029494,0.0,-17.48076507217677,-16.514208795313998,0.0,-16.51420225556212,-15.78033756346972,0.0,-15.780330777067928,-23.236227123600077,0.0,-23.23622102670814,-22.225072527018437,0.0,-22.225066484015784,-21.283133022494503,0.0,-21.28312667123154,-20.32089551219364,0.0,-20.32088895395054
-27.47468699357943,0.0,-27.474697493845756,-21.236210923657055,0.0,-21.236221754037935,-15.866803657412639,0.0,-15.866814337600484,-13.32078900756694,0.0,-13.32079935847433,-12.52072333614465,0.0,-12.520733177494707,-13.180049294838778,0.0,-13.180058907235054,-10.220852052434578,0.0,-10.22086103610359,-9.513330371450136,0.0,-9.513339525884634,-8.590079538269887,0.0,-8.590088952893513,-16.3495416186044,0.0,-16.349550912646148,-13.443649563823652,0.0,-13.443658442886179,-12.514210650649753,0.0,-12.514219910278438,-11.749423118720626,0.0,-11.749432695642119,-19.676948938898857,0.0,-19.6769579082801,-17.480758741081587,0.0,-17.480767492705372,-16.514196205437973,0.0,-16.514205286990403,-15.780325170460594,0.0,-15.780334567516157,-23.236215465316462,0.0,-23.236224147996257,-22.22506056727755,0.0,-22.225068938072955,-21.283120879389966,0.0,-21.283129249921757,-20.320883386751056,0.0,-20.32089181629214
-27.474680770111956,0.0,-27.47470022682408,-21.23620453669378,0.0,-21.23622490190462,-15.86679694271023,0.0,-15.866817657429408,-13.320781970947042,0.0,-13.320802570657445,-12.520716015916456,0.0,-12.52073602403587,-13.180042615494362,0.0,-13.18006116490282,-10.220844970253415,0.0,-10.220862982315733,-9.513323153738066,0.0,-9.513341896288923,-8.590072504982475,0.0,-8.590091673457197,-16.349534989317114,0.0,-16.349552805764493,-13.443642600216535,0.0,-13.443659785423215,-12.514203534930688,0.0,-12.514221751165591,-11.74941611950417,0.0,-11.749434910398117,-19.676942355635823,0.0,-19.676959487399756,-17.480751835917843,0.0,-17.48076845672645,-16.51418911064444,0.0,-16.51420675195829,-15.780318173259667,0.0,-15.780336470807443,-23.236208969198106,0.0,-23.23622548881471,-22.225053640996354,0.0,-22.225069935237567,-21.28311375250409,0.0,-21.283130733726573,-20.32087635990512,0.0,-20.320893822374224
-27.474705476196743,0.0,-27.474688639333156,-21.23623111770901,0.0,-21.23621385169081,-15.866824270090577,0.0,-15.866807456794088,-13.320809323068515,0.0,-13.320793204876898,-12.52074260123617,0.0,-12.520727419111624,-13.180069407910857,0.0,-13.180054243766229,-10.22087192684681,0.0,-10.220857982690868,-9.513350045890647,0.0,-9.513335967667548,-8.590098885704204,0.0,-8.590084371307778,-16.34956077012652,0.0,-16.3495460681704,-13.443668833681127,0.0,-13.443654843608254,-12.514229792406079,0.0,-12.51421530208354,-11.749441893678382,0.0,-11.749426890105536,-19.676967147384307,0.0,-19.676952937965964,-17.480777283581265,0.0,-17.480763387063032,-16.514214777211745,0.0,-16.514200489756366,-15.780343433975775,0.0,-15.780328664791211,-23.236232761430625,0.0,-23.236218984426007,-22.225077959952596,0.0,-22.22506480202976,-21.2831384124472,0.0,-21.28312548697372,-20.32090101424643,0.0,-20.320888119673942
-27.474727685962975,0.0,-27.47467863702412,-21.23625432468944,0.0,-21.23620310598756,-15.866848459461195,0.0,-15.866796614550124,-13.32083423829968,0.0,-13.320782884331065,-12.52076788978972,0.0,-12.520718170327086,-13.180093337918656,0.0,-13.180046875792321,-10.220896810133878,0.0,-10.220851957435006,-9.513375209508329,0.0,-9.513328683401296,-8.59012346565237,0.0,-8.59007584300702,-16.34958424713815,0.0,-16.349539574674573,-13.443693208620918,0.0,-13.443650183373258,-12.514254514486515,0.0,-12.5142090223791,-11.749466192972292,0.0,-11.749419246802,-19.676990187998015,0.0,-19.67694720783606,-17.480801263044434,0.0,-17.480759527338616,-16.514239253215717,0.0,-16.514195110998305,-15.780367555481032,0.0,-15.780321788020087,-23.236255270465918,0.0,-23.236213800640105,-22.225101605535794,0.0,-22.22506084698617,-21.28316262023676,0.0,-21.283120408953053,-20.320924997169936,0.0,-20.320881723682444
-27.4746801154441,0.0,-27.4747010881014,-21.236202911774065,0.0,-21.236224108645757,-15.866795714564375,0.0,-15.86681569103035,-13.32078168324212,0.0,-13.320800276111155,-12.520717169828142,0.0,-12.52073422799035,-13.180041697846281,0.0,-13.1800598153113,-10.220845125873108,0.0,-10.220861067344492,-9.513323763491224,0.0,-9.513339438991116,-8.590072962551709,0.0,-8.590089240131876,-16.34953470891022,0.0,-16.349552400245816,-13.443642964544352,0.0,-13.443659625138022,-12.514204334055954,0.0,-12.514221277052652,-11.749416947060295,0.0,-11.749434543263893,-19.676942706964248,0.0,-19.676959871665865,-17.480752636935012,0.0,-17.480769524239033,-16.51419030678594,0.0,-16.514207253218288,-15.780319393992063,0.0,-15.780336865600157,-23.236209837804978,0.0,-23.236226548466124,-22.225055382473645,0.0,-22.225070953347366,-21.28311582691058,0.0,-21.28313038937676,-20.320878140435298,0.0,-20.32089227552492
-27.47461455746323,0.0,-27.474730959307088,-21.236133834298435,0.0,-21.236255147922584,-15.866723997920275,0.0,-15.866846295382496,-13.320708412826084,0.0,-13.320829149069196,-12.520643686687256,0.0,-12.520760261863192,-13.179970932173845,0.0,-13.180080604714387,-10.220772220557132,0.0,-10.220877571487568,-9.513250313765694,0.0,-9.513359304727329,-8.590001131987993,0.0,-8.590112770191125,-16.34946566229417,0.0,-16.34957120209815,-13.443571678339119,0.0,-13.44367319883947,-12.514132295602572,0.0,-12.514239409710484,-11.7493461663481,0.0,-11.749456741826686,-19.67687532733952,0.0,-19.676976917490517,-17.480682778270385,0.0,-17.480781501074286,-16.514119233288806,0.0,-16.514223339835407,-15.780249375548184,0.0,-15.780357281792254,-23.23614433433865,0.0,-23.236242404913842,-22.22498707903006,0.0,-22.225083179579983,-21.283046077916858,0.0,-21.28314507606732,-20.320808871236498,0.0,-20.320910092651367
-27.47469845931362,0.0,-27.474691000691028,-21.23622511246879,0.0,-21.23621881186883,-15.866817354154874,0.0,-15.866814105726318,-13.320800821524118,0.0,-13.320800130020407,-12.520731933410042,0.0,-12.520733258164576,-13.180062146866007,0.0,-13.180058780883126,-10.220862811592042,0.0,-10.220862837023756,-9.513340190045268,0.0,-9.51334203683144,-8.59008945311564,0.0,-8.590090851412539,-16.349552772457045,0.0,-16.349548961426247,-13.443659605862774,0.0,-13.443656735667496,-12.514219827378076,0.0,-12.514218215633132,-11.749432039706988,0.0,-11.749430140293743,-19.676958414920122,0.0,-19.676954444644572,-17.480767581372373,0.0,-17.480763261625217,-16.514204340325318,0.0,-16.514201705846297,-15.780333089147694,0.0,-15.780330566552413,-23.236223489594124,0.0,-23.236219343427354,-22.225067050966945,0.0,-22.225064780331405,-21.283126833009575,0.0,-21.283127787940884,-20.32088992959274,0.0,-20.320892587458022
-27.474872896678843,0.0,-27.47461093548496,-21.236409883876433,0.0,-21.236137365835717,-15.867008709273044,0.0,-15.866735028524094,-13.320995319986878,0.0,-13.32072598196559,-12.520925501306882,0.0,-12.520666118240912,-13.180250659609872,0.0,-13.180005078415398,-10.221055882820378,0.0,-10.220821078536039,-9.513534233452555,0.0,-9.513291930756695,-8.59027936275541,0.0,-8.590031008350207,-16.349736068346342,0.0,-16.349499548251195,-13.44384816935711,0.0,-13.44362092528171,-12.514409933962787,0.0,-12.514170647235634,-11.749618783228843,0.0,-11.749371684487743,-19.677136637658563,0.0,-19.676908867055293,-17.480951908555408,0.0,-17.480730410928555,-16.51439147778485,0.0,-16.51415854932093,-15.780517404740925,0.0,-15.780276045030801,-23.23639620343932,0.0,-23.23617621812619,-22.22524628121653,0.0,-22.225031319828364,-21.283309549514936,0.0,-21.28308921842516,-20.321071679054498,0.0,-20.32084696736545
