left_hand_wrist_x,left_hand_wrist_y,left_hand_wrist_z,left_hand_thumb_cmc_x,left_hand_thumb_cmc_y,left_hand_thumb_cmc_z,left_hand_thumb_mcp_x,left_hand_thumb_mcp_y,left_hand_thumb_mcp_z,left_hand_thumb_ip_x,left_hand_thumb_ip_y,left_hand_thumb_ip_z,left_hand_thumb_tip_x,left_hand_thumb_tip_y,left_hand_thumb_tip_z,left_hand_index_finger_mcp_x,left_hand_index_finger_mcp_y,left_hand_index_finger_mcp_z,left_hand_index_finger_pip_x,left_hand_index_finger_pip_y,left_hand_index_finger_pip_z,left_hand_index_finger_dip_x,left_hand_index_finger_dip_y,left_hand_index_finger_dip_z,left_hand_index_finger_tip_x,left_hand_index_finger_tip_y,left_hand_index_finger_tip_z,left_hand_middle_finger_mcp_x,left_hand_middle_finger_mcp_y,left_hand_middle_finger_mcp_z,left_hand_middle_finger_pip_x,left_hand_middle_finger_pip_y,left_hand_middle_finger_pip_z,left_hand_middle_finger_dip_x,left_hand_middle_finger_dip_y,left_hand_middle_finger_dip_z,left_hand_middle_finger_tip_x,left_hand_middle_finger_tip_y,left_hand_middle_finger_tip_z,left_hand_ring_finger_mcp_x,left_hand_ring_finger_mcp_y,left_hand_ring_finger_mcp_z,left_hand_ring_finger_pip_x,left_hand_ring_finger_pip_y,left_hand_ring_finger_pip_z,left_hand_ring_finger_dip_x,left_hand_ring_finger_dip_y,left_hand_ring_finger_dip_z,left_hand_ring_finger_tip_x,left_hand_ring_finger_tip_y,left_hand_ring_finger_tip_z,left_hand_pinky_mcp_x,left_hand_pinky_mcp_y,left_hand_pinky_mcp_z,left_hand_pinky_pip_x,left_hand_pinky_pip_y,left_hand_pinky_pip_z,left_hand_pinky_dip_x,left_hand_pinky_dip_y,left_hand_pinky_dip_z,left_hand_pinky_tip_x,left_hand_pinky_tip_y,left_hand_pinky_tip_z
141.44106191013427,0.0,141.44106206644494,144.45245991658314,0.0,144.45246007643337,149.76633507102358,0.0,149.76633523518197,154.18676163573906,0.0,154.18676180288767,157.3135100849448,0.0,157.31351025420173,159.50579079305274,0.0,159.50579095709787,164.7777050258362,0.0,164.77770519479458,166.46627801252419,0.0,166.4662781827042,167.59049482121085,0.0,167.59049499111876,160.22732083441116,0.0,160.22732099791904,165.42954307312965,0.0,165.42954324158237,167.06416404835988,0.0,167.0641642178605,168.3048870255594,0.0,168.3048871950608,159.49669292052386,0.0,159.49669308385572,164.40941397390336,0.0,164.40941414159334,166.03118886583542,0.0,166.03118903444846,167.29241647282274,0.0,167.29241664153312,157.6162927142802,0.0,157.61629287764185,161.7458237145151,0.0,161.74582388106603,163.35319562745988,0.0,163.3531957955431,164.53644395432593,0.0,164.53644412294628
141.44106166446872,0.0,141.44106223671506,144.45245966666292,0.0,144.4524602468907,149.76633481417372,0.0,149.76633540845887,154.18676137304442,0.0,154.18676197874757,157.3135098178892,0.0,157.31351043167197,159.50579053495105,0.0,159.50579113439832,164.77770476006697,0.0,164.77770537569927,166.46627774395537,0.0,166.4662783649991,167.59049455136727,0.0,167.59049517402406,160.2273205762992,0.0,160.2273211760308,165.42954280802792,0.0,165.42954342303963,167.06416378071918,0.0,167.06416440067431,168.30488675650102,0.0,168.3048873785273,159.49669266245536,0.0,159.49669326225595,164.40941370919361,0.0,164.4094143230801,166.03118859879646,0.0,166.0311892170926,167.29241620444915,0.0,167.29241682469177,157.61629245597297,0.0,157.61629305585046,161.7458234504636,0.0,161.74582406150762,163.3531953606575,0.0,163.3531959772564,164.53644368581405,0.0,164.53644430531145
141.44106209795348,0.0,141.4410619426961,144.45246010795913,0.0,144.45245994750636,149.76633526733852,0.0,149.7663351020279,154.1867618349071,0.0,154.18676166678537,157.3135102854184,0.0,157.31351011532453,159.50579099307987,0.0,159.50579082976407,164.77770523271948,0.0,164.77770506391528,166.46627821533534,0.0,166.46627804563454,167.59049501785904,0.0,167.59049484930924,160.22732103436977,0.0,160.22732087234738,165.4295432791554,0.0,165.42954311126866,167.06416425003428,0.0,167.06416408148038,168.30488722185316,0.0,168.30488705399668,159.49669312021754,0.0,159.49669295861065,164.40941417835074,0.0,164.40941401178424,166.03118906674183,0.0,166.03118889960635,167.29241666931705,0.0,167.29241650262156,157.61629291306238,0.0,157.61629275141505,161.74582391670555,0.0,161.7458237517186,163.35319582846833,0.0,163.35319566194087,164.53644415259006,0.0,164.5364439858437
141.44106279181324,0.0,141.44106146395345,144.4524608139383,0.0,144.45245946653552,149.7663359927687,0.0,149.76633461239445,154.18676257630003,0.0,154.18676116952784,157.31351103844386,0.0,157.31350961299765,159.5057917229756,0.0,159.50579033176885,164.77770598460688,0.0,164.7777045554737,166.4662789730331,0.0,166.46627753153595,167.59049577674836,0.0,167.5904943320443,160.22732176426874,0.0,160.22732037286494,165.4295440290404,0.0,165.42954260159996,167.06416500496664,0.0,167.0641635662828,168.3048879786078,0.0,168.30488653554312,159.49669384991552,0.0,159.4966924584981,164.40941492669702,0.0,164.40941350221007,166.03118981987063,0.0,166.0311883853633,167.2924174243819,0.0,167.29241598568456,157.61629364306546,0.0,157.61629225146297,161.7458246626008,0.0,161.7458232449825,163.3531965810244,0.0,163.35319515050512,164.53644490860722,0.0,164.5364434715536
141.4410620598181,0.0,141.44106195770206,144.45246006862294,0.0,144.4524599714908,149.7663352275647,0.0,149.7663351301319,154.18676179709726,0.0,154.1867616970205,157.31351025053732,0.0,157.3135101485536,159.50579094821467,0.0,159.50579084267963,164.777705184897,0.0,164.7777050787945,166.46627817812063,0.0,166.46627806984347,167.5904949931331,0.0,167.59049488120826,160.22732098963874,0.0,160.22732088115444,165.42954323205367,0.0,165.42954312447765,167.06416421372305,0.0,167.06416410383918,168.30488719681216,0.0,168.30488708389524,159.49669307590497,0.0,159.49669296649003,164.40941413358266,0.0,164.40941402406077,166.03118903107128,0.0,166.03118891943564,167.2924166430953,0.0,167.29241652906472,157.6162928706574,0.0,157.6162927612701,161.74582387515682,0.0,161.7458237644325,163.35319579233163,0.0,163.3531956806867,164.53644412338897,0.0,164.5364440100266
141.44106026624493,0.0,141.44106319139843,144.45245824354154,0.0,144.45246121393583,149.76633335241712,0.0,149.7663363961988,154.1867598816461,0.0,154.18676298337283,157.3135083062213,0.0,157.31351144892633,159.5057890598884,0.0,159.50579212507972,164.7777032391338,0.0,164.7777063886665,166.46627622102613,0.0,166.4662793973824,167.59049303719567,0.0,167.59049621946866,160.22731910134942,0.0,160.2273221659846,165.42954129167282,0.0,165.42954443693517,167.06416226403053,0.0,167.0641654335741,168.30488524624687,0.0,168.304888424531,159.49669118827282,0.0,159.4966942526242,164.40941219793825,0.0,164.40941533596103,166.0311870862236,0.0,166.031190245867,167.29241469646803,0.0,167.29241786464212,157.61629098288594,0.0,157.61629404765918,161.74582194688918,0.0,161.74582506919688,163.35319384879645,0.0,163.3531969995479,164.53644217331217,0.0,164.53644533804814
141.44106129241672,0.0,141.44106250728265,144.45245928876804,0.0,144.45246050779465,149.76633442507492,0.0,149.76633566954052,154.18676097190254,0.0,154.1867622418181,157.313509406135,0.0,157.31351069413142,159.50579014939942,0.0,159.5057914191497,164.77770436486725,0.0,164.77770566434822,166.4662773322423,0.0,166.46627864562356,167.59049412362253,0.0,167.59049544713085,160.2273201905811,0.0,160.2273214667172,165.4295424131532,0.0,165.4295437144772,167.06416336956755,0.0,167.0641646842306,168.3048863304311,0.0,168.30488765480428,159.4966922763455,0.0,159.49669355446017,164.40941331238633,0.0,164.4094146156039,166.03118818794792,0.0,166.031189503174,167.29241578084682,0.0,167.29241710429005,157.61629206734005,0.0,157.61629334553535,161.74582305118844,0.0,161.74582435178223,163.3531949507262,0.0,163.3531962629718,164.53644326528982,0.0,164.53644458608332
141.44106563638826,0.0,141.4410595266469,144.4524637093982,0.0,144.45245750022556,149.7663389665541,0.0,149.76633260239683,154.18676560915253,0.0,154.18675912443322,157.3135141109803,0.0,157.31350754102832,159.50579472594026,0.0,159.50578832259748,164.7777090816524,0.0,164.77770250035866,166.46628206938377,0.0,166.4662754329954,167.59049884981843,0.0,167.5904922036605,160.2273247669453,0.0,160.22731836699748,165.42954711650643,0.0,165.42954054535272,167.0641680882942,0.0,167.06416146752304,168.30489104389628,0.0,168.30488440692085,159.49669685085374,0.0,159.4966904522063,164.40941800280922,0.0,164.4094114484306,166.0311928945893,0.0,166.03118629607425,167.29242048560042,0.0,167.29241387084505,157.61629664093752,0.0,157.61629024137693,161.74582772174432,0.0,161.74582120150689,163.35319965451157,0.0,163.35319307480952,164.5364479802967,0.0,164.53644137231007
141.44106481531705,0.0,141.4410600454588,144.45246287172955,0.0,144.45245805903895,149.7663381085324,0.0,149.76633318683307,154.18676474422932,0.0,154.18675972511485,157.3135132473463,0.0,157.31350815916534,159.5057938421885,0.0,159.50578885090775,164.7777081644996,0.0,164.77770304689312,166.46628119145836,0.0,166.46627602427517,167.5904980234507,0.0,167.59049283039846,160.22732388375655,0.0,160.2273188793885,165.42954620429953,0.0,165.42954108600773,167.0641672168116,0.0,167.0641620520425,168.30489021823038,0.0,168.3048850263497,159.49669596962198,0.0,159.49669096128284,164.4094171019123,0.0,164.40941198506167,166.03119202752583,0.0,166.03118686901342,167.2924196565606,0.0,167.29241447425207,157.61629576746353,0.0,157.6162907586364,161.74582683676238,0.0,161.7458217372827,163.35319878602624,0.0,163.3531936405064,164.53644713778067,0.0,164.5364419636624
141.44105485607818,0.0,141.44106686399297,144.45245273602737,0.0,144.45246495110464,149.7663276966048,0.0,149.76634022033042,154.18675411651233,0.0,154.1867668760759,157.31350246940372,0.0,157.3135153956288,159.50578334342913,0.0,159.50579593100963,164.7776973418816,0.0,164.77771028345455,166.46627033670853,0.0,166.4662833843474,167.59048721049822,0.0,167.59050027118107,160.22731338558103,0.0,160.22732596117748,165.429535413289,0.0,165.42954833202987,167.06415640528047,0.0,167.06416941892542,168.3048794338899,0.0,168.30489247450157,159.49668547624353,0.0,159.49669804760143,164.40940634353882,0.0,164.40941922537667,166.03118124442258,0.0,166.0311942105734,167.29240889049825,0.0,167.2924218848151,157.6162852787334,0.0,157.61629785196178,161.7458161280412,0.0,161.74582893964595,163.3531880088087,0.0,163.35320093741296,164.5364363443167,0.0,164.5364493263113
