left_hand_wrist_x,left_hand_wrist_y,left_hand_wrist_z,left_hand_thumb_cmc_x,left_hand_thumb_cmc_y,left_hand_thumb_cmc_z,left_hand_thumb_mcp_x,left_hand_thumb_mcp_y,left_hand_thumb_mcp_z,left_hand_thumb_ip_x,left_hand_thumb_ip_y,left_hand_thumb_ip_z,left_hand_thumb_tip_x,left_hand_thumb_tip_y,left_hand_thumb_tip_z,left_hand_index_finger_mcp_x,left_hand_index_finger_mcp_y,left_hand_index_finger_mcp_z,left_hand_index_finger_pip_x,left_hand_index_finger_pip_y,left_hand_index_finger_pip_z,left_hand_index_finger_dip_x,left_hand_index_finger_dip_y,left_hand_index_finger_dip_z,left_hand_index_finger_tip_x,left_hand_index_finger_tip_y,left_hand_index_finger_tip_z,left_hand_middle_finger_mcp_x,left_hand_middle_finger_mcp_y,left_hand_middle_finger_mcp_z,left_hand_middle_finger_pip_x,left_hand_middle_finger_pip_y,left_hand_middle_finger_pip_z,left_hand_middle_finger_dip_x,left_hand_middle_finger_dip_y,left_hand_middle_finger_dip_z,left_hand_middle_finger_tip_x,left_hand_middle_finger_tip_y,left_hand_middle_finger_tip_z,left_hand_ring_finger_mcp_x,left_hand_ring_finger_mcp_y,left_hand_ring_finger_mcp_z,left_hand_ring_finger_pip_x,left_hand_ring_finger_pip_y,left_hand_ring_finger_pip_z,left_hand_ring_finger_dip_x,left_hand_ring_finger_dip_y,left_hand_ring_finger_dip_z,left_hand_ring_finger_tip_x,left_hand_ring_finger_tip_y,left_hand_ring_finger_tip_z,left_hand_pinky_mcp_x,left_hand_pinky_mcp_y,left_hand_pinky_mcp_z,left_hand_pinky_pip_x,left_hand_pinky_pip_y,left_hand_pinky_pip_z,left_hand_pinky_dip_x,left_hand_pinky_dip_y,left_hand_pinky_dip_z,left_hand_pinky_tip_x,left_hand_pinky_tip_y,left_hand_pinky_tip_z
815.329792240516,0.0,-366.81266285441984,839.5493984204545,0.0,-348.73558254094553,866.1204218106923,0.0,-341.0057274625356,888.8306234049311,0.0,-343.4623716033368,906.1022376671949,0.0,-344.09303786601424,873.165845274908,0.0,-347.03318904269844,897.336800733373,0.0,-348.96842583972415,912.1382427917775,0.0,-352.9633939803433,924.0550416154881,0.0,-356.98644955960475,869.4822244429129,0.0,-360.46581667041005,894.1081555979962,0.0,-365.90736607504255,910.0865595932191,0.0,-370.7441396786608,923.8529850075586,0.0,-375.5395038205591,863.2898164303637,0.0,-372.7071684168612,886.4920667925264,0.0,-379.43703933423814,902.4913605690052,0.0,-383.4041117188586,915.8548349434227,0.0,-387.1282711583847,855.0817981353068,0.0,-384.74815571189026,872.0475467967451,0.0,-391.4802705104662,885.0627872000583,0.0,-394.61597869374435,896.8892264729911,0.0,-396.9183555874543
813.4330159592192,0.0,-369.7591325618702,836.836037486779,0.0,-352.01613466384265,862.895557832987,0.0,-344.3102861158131,885.6532641608117,0.0,-347.0428467269524,903.2261200716335,0.0,-348.9329648003653,869.7082878839457,0.0,-349.58476280580334,893.6095285038658,0.0,-351.9991258054582,909.1034145524371,0.0,-356.16396390028325,921.8200809140403,0.0,-360.5721427342746,866.2534824764314,0.0,-363.3287558403518,890.7425591460865,0.0,-368.64195564165664,907.0995507017784,0.0,-373.3692366755989,921.3063391983333,0.0,-378.2901623177498,860.2598725662007,0.0,-375.8842616334078,883.4407435216601,0.0,-382.55811518364146,899.5585457197427,0.0,-386.4276262318907,913.1933085917702,0.0,-389.96177830863786,852.3249749515356,0.0,-387.98318143145707,869.7780474043188,0.0,-394.41878879003946,882.7604453966503,0.0,-397.50168016492,894.312170415699,0.0,-399.5133242752759
812.6802163517186,0.0,-373.9914570468346,835.5103833594892,0.0,-356.75766570932177,861.1658780237071,0.0,-349.4596998771135,883.3736715350872,0.0,-352.60142240366866,900.6154671233112,0.0,-355.06875016584735,867.8637652614957,0.0,-353.8067954375096,890.8569899208146,0.0,-356.6896376109998,906.3260047799763,0.0,-361.29067376731143,919.0299745841684,0.0,-366.1916054660932,864.3451562633536,0.0,-367.4549573546478,888.0890281115576,0.0,-372.8550106550889,904.2394190945236,0.0,-377.66895446606225,918.3873753987988,0.0,-382.74231931813705,858.3748952006782,0.0,-379.9090064485103,880.7594915953188,0.0,-386.7716487966752,896.613030860014,0.0,-390.8818433093969,910.1455984108744,0.0,-394.5808543619753,850.5639492581419,0.0,-391.8696221224231,867.6457816858517,0.0,-398.3869610445566,880.3358617311205,0.0,-401.6540658151979,891.6176950170627,0.0,-403.81906247217603
812.1791203984773,0.0,-378.88398660456585,834.6471636489872,0.0,-362.32604202165646,860.2892463817643,0.0,-355.71699965667256,881.7175976395595,0.0,-359.54544049467705,898.2984051259883,0.0,-362.1655456425798,866.6976403843038,0.0,-359.3452141387672,888.4010069068869,0.0,-362.6446620389994,903.3478072940933,0.0,-367.8276147246037,915.5153814590319,0.0,-373.21702397230894,862.9230853031775,0.0,-372.5245668414245,885.4922361381127,0.0,-378.1406701667022,901.0529764305602,0.0,-383.22324348333893,914.8457277137618,0.0,-388.48999353918623,856.7838372822886,0.0,-384.54645505120874,877.9003449920554,0.0,-391.6873832658922,893.2578505557453,0.0,-396.28058030096815,906.444866903874,0.0,-400.37698364684525,848.8818857978513,0.0,-396.25487098192855,865.0861964157659,0.0,-403.05672693787335,877.3427363863142,0.0,-406.6227184712917,888.3929463977585,0.0,-409.18638574441724
809.8844707209444,0.0,-381.9352151984401,832.0036116736047,0.0,-365.9199386622493,858.1474871712821,0.0,-359.85689491244,879.5209073819544,0.0,-364.4865597569439,895.9154767242972,0.0,-367.65833506977657,863.555449347158,0.0,-363.43193129645704,884.7515683504922,0.0,-367.06212193563687,899.4124336737539,0.0,-372.69205033543295,911.2322047442485,0.0,-378.44988697845577,859.7135777733607,0.0,-376.25729308204416,881.7353265020334,0.0,-382.07179899370044,897.0514037250869,0.0,-387.45998508097523,910.580343830509,0.0,-392.96557294769985,853.4463374501806,0.0,-388.0859181571564,874.0654239932696,0.0,-395.227021182276,889.1581303697736,0.0,-400.10794745918395,902.0376281078804,0.0,-404.39449457539854,845.4283458163485,0.0,-399.7226448697763,861.3013309616625,0.0,-406.5462284582847,873.3145636486847,0.0,-410.16655902492744,884.1698401809696,0.0,-412.8337623348459
805.3711742340752,0.0,-380.96652679886495,827.026814505873,0.0,-365.01842878835504,853.7903494028399,0.0,-359.0763675585461,876.0295883056621,0.0,-363.94588222162537,892.7764047198858,0.0,-368.2213332136155,857.5639889685856,0.0,-363.1317367251953,879.7756667431614,0.0,-366.9197360946633,894.5662551887815,0.0,-372.74947900806444,906.2570513138047,0.0,-378.7751478658672,854.026474797728,0.0,-376.12014386632114,876.9135057656309,0.0,-382.12145682243073,892.5789583774522,0.0,-387.70780226339343,905.8396302461496,0.0,-393.42843475545567,847.9259189621756,0.0,-388.3631818390419,869.512257454429,0.0,-395.1208488137947,884.6739655474597,0.0,-399.81923258577825,897.2508391851281,0.0,-403.87331366049347,840.0385023082409,0.0,-400.21569755029645,856.4171064218924,0.0,-406.7158207894689,868.4423103014994,0.0,-410.03398754761787,879.0735286948997,0.0,-412.36024641114545
800.5457525664392,0.0,-375.9519412920648,821.6064748749122,0.0,-359.70819094927145,848.4985141040167,0.0,-353.4870456007987,871.4739524454602,0.0,-357.3931043323825,888.2306366984969,0.0,-362.34263407056625,851.2203138680782,0.0,-358.1963806878632,874.9938403757059,0.0,-361.8173150601339,889.8069427034843,0.0,-367.5434004601054,901.2152646717653,0.0,-373.63161538488646,848.1388290109044,0.0,-371.66652522083115,872.5310478449054,0.0,-377.7706298809858,888.5466770333408,0.0,-383.3000658734442,901.3395247199545,0.0,-389.03758503730387,842.3858657641433,0.0,-384.53580571955456,865.4516997167711,0.0,-390.7681168848673,880.6123359674607,0.0,-395.0287784643527,892.7936096841473,0.0,-398.67415867719865,834.735712454835,0.0,-396.6066699102332,851.6580334191656,0.0,-402.7840944030002,863.6688373470787,0.0,-405.75661565006436,874.0419431217997,0.0,-407.65236884091064
797.0715986263609,0.0,-368.29947741911764,817.4194526127033,0.0,-351.89969876662207,843.770947662766,0.0,-345.1999520886942,866.2881678841687,0.0,-347.16555182710806,882.1346742220779,0.0,-351.24739994572246,847.3381072370867,0.0,-350.7031021382592,871.510797121179,0.0,-353.90826884582464,885.8894509373245,0.0,-359.17007489401067,896.9160610339723,0.0,-364.8909788800746,844.5489880179628,0.0,-364.4214283833058,869.5098472265639,0.0,-370.39192708416033,885.3127931459994,0.0,-375.5809346069739,897.690296861562,0.0,-381.07176340705513,838.9303017597263,0.0,-377.4764360535014,862.5030780148131,0.0,-383.34656392290907,877.3182237752833,0.0,-387.40341912673,889.2059088245286,0.0,-390.8947067446459,831.1622552182953,0.0,-389.5064606108557,847.9905382934517,0.0,-395.57105443172736,859.7928333925213,0.0,-398.4590614379304,870.0368395945815,0.0,-400.1766056053434
794.1912839671891,0.0,-359.2578704733934,813.7038878907772,0.0,-342.93573950773595,839.1842470162496,0.0,-335.71841521126777,860.3336781816429,0.0,-335.7606292847557,874.9412537474136,0.0,-337.492873263666,845.1558221094266,0.0,-342.0141487341473,868.5107123437127,0.0,-344.97838685228106,882.4131876756195,0.0,-349.6625630648527,893.3274885775236,0.0,-354.71762221661584,842.445418086535,0.0,-355.5731784817149,866.8725737844206,0.0,-361.342370441835,882.2370937437638,0.0,-366.19333172841766,894.5900680938555,0.0,-371.4159917285716,836.665616750042,0.0,-368.430591441155,859.7822675831487,0.0,-374.2508579897877,874.2346278628702,0.0,-378.55807701027726,886.1425291779924,0.0,-382.29542018821894,828.4595067466752,0.0,-380.40794408239583,844.9655783673878,0.0,-386.4173490151698,856.5799763656564,0.0,-389.35681625318006,866.9697446676114,0.0,-391.12675870102316
789.9790774403092,0.0,-350.0938470037964,808.5732529289259,0.0,-333.55298790906585,833.2485582392931,0.0,-325.7373673688508,853.3233775845312,0.0,-324.57725891174806,867.3448117921686,0.0,-323.690987200756,841.2392739931948,0.0,-332.2552300621177,864.2003712863284,0.0,-335.34185315260703,878.2451196350207,0.0,-339.7852997626301,889.4040619105879,0.0,-344.3750716295257,838.6014463484846,0.0,-345.60335408614105,862.7939520883334,0.0,-351.3933834210454,878.2385376999,0.0,-356.23714066902835,890.8567928017652,0.0,-361.42705472389804,832.8104238153021,0.0,-358.50307322774484,855.7974135978641,0.0,-364.4272484146906,870.3199582061774,0.0,-369.1057720452631,882.4024515482139,0.0,-373.1555970246896,824.579846365501,0.0,-370.82993240709135,841.34562531587,0.0,-376.60932289749593,853.0079166838541,0.0,-379.4305328804322,863.6407638397675,0.0,-381.27746692741863
